pubDate,avgPrice,day_of_year,day_of_week,month,doy_sin,doy_cos,avgPrice_lag_1,avgPrice_lag_7,avgPrice_lag_30,avgPrice_lag_365,avgPrice_MA_30,specInfo_UNKNOWN,prodPcat_UNKNOWN
2022-08-10,37.5,222,2,8,-0.6287628145958345,-0.7775971469736268,37.5,37.5,37.5,37.5,37.5,True,True
2022-08-11,37.5,223,3,8,-0.6420547132365636,-0.7666588193001592,37.5,37.5,37.5,37.5,37.5,True,True
2022-08-12,37.5,224,4,8,-0.655156357209085,-0.7554933140726804,37.5,37.5,37.5,37.5,37.5,True,True
2022-08-13,37.5,225,5,8,-0.6680638642135333,-0.7441039398713608,37.5,37.5,37.5,37.5,37.5,True,True
2022-08-14,37.5,226,6,8,-0.6807734094770159,-0.7324940716135792,37.5,37.5,37.5,37.5,37.5,True,True
2022-08-15,37.5,227,0,8,-0.6932812268869771,-0.7206671495538615,37.5,37.5,37.5,37.5,37.5,True,True
2022-08-16,37.5,228,1,8,-0.7055836101071774,-0.70862667826446,37.5,37.5,37.5,37.5,37.5,True,True
2022-08-17,37.5,229,2,8,-0.7176769136759615,-0.6963762255968726,37.5,37.5,37.5,37.5,37.5,True,True
2022-08-18,37.5,230,3,8,-0.7295575540864876,-0.6839194216246105,37.5,37.5,37.5,37.5,37.5,True,True
2022-08-19,37.5,231,4,8,-0.7412220108485957,-0.6712599575675315,37.5,37.5,37.5,37.5,37.5,True,True
2022-08-20,37.5,232,5,8,-0.7526668275320083,-0.6584015846980489,37.5,37.5,37.5,37.5,37.5,True,True
2022-08-21,37.5,233,6,8,-0.7638886127905429,-0.64534811322955,37.5,37.5,37.5,37.5,37.5,True,True
2022-08-22,37.5,234,0,8,-0.7748840413670406,-0.6321034111873488,37.5,37.5,37.5,37.5,37.5,True,True
2022-08-23,37.5,235,1,8,-0.7856498550787144,-0.6186714032625032,37.5,37.5,37.5,37.5,37.5,True,True
2022-08-24,37.5,236,2,8,-0.7961828637826154,-0.6050560696488494,37.5,37.5,37.5,37.5,37.5,True,True
2022-08-25,37.5,237,3,8,-0.8064799463209447,-0.5912614448635782,37.5,37.5,37.5,37.5,37.5,True,True
2022-08-26,37.5,238,4,8,-0.8165380514459157,-0.5772916165517278,37.5,37.5,37.5,37.5,37.5,True,True
2022-08-27,37.5,239,5,8,-0.8263541987239094,-0.5631507242749187,37.5,37.5,37.5,37.5,37.5,True,True
2022-08-28,37.5,240,6,8,-0.8359254794186365,-0.5488429582847199,37.5,37.5,37.5,37.5,37.5,True,True
2022-08-29,37.5,241,0,8,-0.8452490573530634,-0.5343725582809785,37.5,37.5,37.5,37.5,37.5,True,True
2022-08-30,37.5,242,1,8,-0.8543221697498269,-0.5197438121555157,37.5,37.5,37.5,37.5,37.5,True,True
2022-08-31,37.5,243,2,8,-0.8631421280499115,-0.5049610547215202,37.5,37.5,37.5,37.5,37.5,True,True
2022-09-01,37.5,244,3,9,-0.8717063187093217,-0.4900286664290594,37.5,37.5,37.5,37.25,37.5,True,True
2022-09-02,37.5,245,4,9,-0.8800122039735356,-0.4749510720670502,37.5,37.5,37.5,37.0,37.5,True,True
2022-09-03,37.5,246,5,9,-0.888057322629493,-0.4597327394521046,37.5,37.5,37.5,36.75,37.5,True,True
2022-09-04,37.5,247,6,9,-0.8958392907349089,-0.4443781781046134,37.5,37.5,37.5,36.5,37.5,True,True
2022-09-05,37.5,248,0,9,-0.9033558023246842,-0.4288919379124841,37.5,37.5,37.5,36.25,37.5,True,True
2022-09-06,37.5,249,1,9,-0.9106046300942162,-0.41327860778290443,37.5,37.5,37.5,36.0,37.5,True,True
2022-09-07,37.5,250,2,9,-0.9175836260593934,-0.3975428142825566,37.5,37.5,37.5,35.75,37.5,True,True
2022-09-08,37.5,251,3,9,-0.9242907221930934,-0.3816892202666586,37.5,37.5,37.5,35.5,37.5,True,True
2022-09-09,37.5,252,4,9,-0.9307239310379793,-0.3657225234972692,37.5,37.5,37.5,35.25,37.5,True,True
2022-09-10,37.5,253,5,9,-0.9368813462954315,-0.34964745525122826,37.5,37.5,37.5,35.0,37.5,True,True
2022-09-11,37.5,254,6,9,-0.9427611433904206,-0.33346877891818705,37.5,37.5,37.5,35.0,37.5,True,True
2022-09-12,37.5,255,0,9,-0.9483615800121716,-0.31719128858910595,37.5,37.5,37.5,35.0,37.5,True,True
2022-09-13,37.5,256,1,9,-0.9536809966304455,-0.300819807635668,37.5,37.5,37.5,35.0,37.5,True,True
2022-09-14,37.5,257,2,9,-0.9587178169872964,-0.2843591872810036,37.5,37.5,37.5,35.0,37.5,True,True
2022-09-15,37.5,258,3,9,-0.9634705485641486,-0.26781430516217486,37.5,37.5,37.5,35.0,37.5,True,True
2022-09-16,37.5,259,4,9,-0.9679377830240642,-0.25119006388481957,37.5,37.5,37.5,35.0,37.5,True,True
2022-09-17,37.5,260,5,9,-0.9721181966290612,-0.23449138957041052,37.5,37.5,37.5,35.0,37.5,True,True
2022-09-18,37.5,261,6,9,-0.9760105506323682,-0.21772323039653224,37.5,37.5,37.5,35.0,37.5,True,True
2022-09-19,37.5,262,0,9,-0.9796136916454901,-0.20089055513063528,37.5,37.5,37.5,35.0,37.5,True,True
2022-09-20,37.5,263,1,9,-0.9829265519799822,-0.18399835165767986,37.5,37.5,37.5,35.0,37.5,True,True
